framenum,source,blockw,blockh,srcx,srcy,dstx,dsty,flags
142,-1,16,16,   8,   8,   8,   8,0x0
142,-1,16,16,  24,   8,  24,   8,0x0
142,-1,16,16,  40,   8,  40,   8,0x0
142,-1,16,16,  56,   8,  56,   8,0x0
142,-1,16,16,  72,   8,  72,   8,0x0
142,-1,16,16,  88,   8,  88,   8,0x0
142,-1,16,16, 104,   8, 104,   8,0x0
142,-1,16,16, 120,   8, 120,   8,0x0
142,-1,16,16, 136,   8, 136,   8,0x0
142,-1,16,16, 152,   8, 152,   8,0x0
142,-1,16,16, 168,   8, 168,   8,0x0
142,-1,16,16, 184,   8, 184,   8,0x0
142,-1,16,16, 200,   8, 200,   8,0x0
142,-1,16,16, 216,   8, 216,   8,0x0
142,-1,16,16, 232,   8, 232,   8,0x0
142,-1,16,16, 248,   8, 248,   8,0x0
142,-1,16,16, 264,   8, 264,   8,0x0
142,-1,16,16, 280,   8, 280,   8,0x0
142,-1,16,16, 296,   8, 296,   8,0x0
142,-1,16,16, 312,   8, 312,   8,0x0
142,-1,16,16, 328,   8, 328,   8,0x0
142,-1,16,16, 344,   8, 344,   8,0x0
142,-1,16,16, 360,   8, 360,   8,0x0
142,-1,16,16, 376,   8, 376,   8,0x0
142,-1,16,16, 392,   8, 392,   8,0x0
142,-1,16,16, 408,   8, 408,   8,0x0
142,-1,16,16, 424,   8, 424,   8,0x0
142,-1,16,16, 440,   8, 440,   8,0x0
142,-1,16,16, 456,   8, 456,   8,0x0
142,-1,16,16, 472,   8, 472,   8,0x0
142,-1,16,16, 488,   8, 488,   8,0x0
142,-1,16,16, 504,   8, 504,   8,0x0
142,-1,16,16, 520,   8, 520,   8,0x0
142,-1,16,16, 536,   8, 536,   8,0x0
142,-1,16,16, 552,   8, 552,   8,0x0
142,-1,16,16, 568,   8, 568,   8,0x0
142,-1,16,16, 584,   8, 584,   8,0x0
142,-1,16,16, 600,   8, 600,   8,0x0
142,-1,16,16, 616,   8, 616,   8,0x0
142,-1,16,16, 632,   8, 632,   8,0x0
142,-1,16,16, 648,   8, 648,   8,0x0
142,-1,16,16, 664,   8, 664,   8,0x0
142,-1,16,16, 680,   8, 680,   8,0x0
142,-1,16,16, 696,   8, 696,   8,0x0
142,-1,16,16, 712,   8, 712,   8,0x0
142,-1,16,16, 728,   8, 728,   8,0x0
142,-1,16,16, 744,   8, 744,   8,0x0
142,-1,16,16, 760,   8, 760,   8,0x0
142,-1,16,16, 776,   8, 776,   8,0x0
142,-1,16,16, 792,   8, 792,   8,0x0
142,-1,16,16, 808,   8, 808,   8,0x0
142,-1,16,16, 824,   8, 824,   8,0x0
142,-1,16,16, 840,   8, 840,   8,0x0
142,-1,16,16, 856,   8, 856,   8,0x0
142,-1,16,16, 872,   8, 872,   8,0x0
142,-1,16,16, 888,   8, 888,   8,0x0
142,-1,16,16, 904,   8, 904,   8,0x0
142,-1,16,16, 920,   8, 920,   8,0x0
142,-1,16,16, 936,   8, 936,   8,0x0
142,-1,16,16, 952,   8, 952,   8,0x0
142,-1,16,16, 968,   8, 968,   8,0x0
142,-1,16,16, 984,   8, 984,   8,0x0
142,-1,16,16,1000,   8,1000,   8,0x0
142,-1,16,16,1016,   8,1016,   8,0x0
142,-1,16,16,1032,   8,1032,   8,0x0
142,-1,16,16,1048,   8,1048,   8,0x0
